Имя файла,Абсолютный путь,Относительный путь,Ширина изображения
000037.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000037.jpg,images\000037.jpg,347
000027.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000027.jpg,images\000027.jpg,389
000020.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000020.jpg,images\000020.jpg,390
000078.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000078.jpg,images\000078.jpg,600
000047.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000047.jpg,images\000047.jpg,640
000035.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000035.jpg,images\000035.jpg,658
000069.jpeg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000069.jpeg,images\000069.jpeg,667
000028.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000028.jpg,images\000028.jpg,680
000062.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000062.jpg,images\000062.jpg,720
000076.jpeg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000076.jpeg,images\000076.jpeg,738
000038.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000038.jpg,images\000038.jpg,800
000045.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000045.jpg,images\000045.jpg,800
000060.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000060.jpg,images\000060.jpg,800
000061.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000061.jpg,images\000061.jpg,800
000001.png,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000001.png,images\000001.png,933
000030.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000030.jpg,images\000030.jpg,960
000064.jpeg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000064.jpeg,images\000064.jpeg,960
000024.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000024.jpg,images\000024.jpg,992
000006.png,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000006.png,images\000006.png,1000
000005.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000005.jpg,images\000005.jpg,1000
000003.jpg,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000003.jpg,images\000003.jpg,1000
000010.png,C:\Users\Иван\Desktop\Study\application-programming-labs-2025\lab_2\images\000010.png,images\000010.png,1000
